"project_id","title","description","crs_sector_name","sources","factiva_sources","location_details","GEO_codedUp","GEO_geojsonLink","GEO_sources","GEO_notes"
41981,"Chinese Government provides additional RMB 50 million grant for 6th Bangladesh-China Friendship Bridge Construction Project (Linked to Project ID #33941, #39022)","In 2002, the Chinese Government provided an RMB 50 million grant (Project ID#41981), an RMB 60 million grant (Project ID#33941), and an RMB 50 million interest-free loan (Project ID#39022) for the 6th Bangladesh-China Friendship Bridge Project. These grant and interest-free loan commitments were codified in Economic and Technical Cooperation Agreements (ECTA) that were signed on January 11, 2002, and December 24, 2002. The Jamuna Multi-Purpose Bridge Authority (JMBA) signed a project implementation contract with China Road & Bridge Corporation (CRBC) on December 27, 2004.  A groundbreaking ceremony took place on January 27, 2005. Construction began on April 28, 2005. The 1521 meters long and 10 meters wide bridge was officially opened to traffic on February 18, 2008. Several sources indicate that RMB 141 million of grant funding was ultimately disbursed for the construction of this bridge.The Muktarpur bridge is located over the Dhaleshwari (Dhaleshwari) River, a tributary of the Meghna River, and on Dhaka-Munshigonj road. It is 37 kilometers southeast of Dhaka. The construction of the bridge sought to establish a fixed transport link between Dhaka city and Munshigonj, which is one of the major supply areas of agricultural products to the capital city. The district of Munshigonj, separated by the Dhleshwari river is situated 30 km south of Dhaka. It consists of 6 upazilas, 67 union parishads, 662 mousaz, 906 villages, 18 wards, 73 mahallas, and 2 municipalities.  The precise locational coordinates of the Muktarpur bridge can be found at https://www.google.com/maps/place/Muktarpur+Bridge,+Bangladesh/@23.5696501,90.5103998,17z/data=!3m1!4b1!4m5!3m4!1s0x3755ae1dcd95674d:0x96d85ebcaadf43f0!8m2!3d23.5696452!4d90.5125885 and https://www.google.com/maps/place/Muktarpur+Bridge/@23.5716112,90.5135207,15z/data=!4m5!3m4!1s0x0:0xfd1bce5e1ee0e66a!8m2!3d23.5716112!4d90.5135207STAFF_NOTE: The Chinese project title was 援孟六桥——达雷斯瓦里河公路桥. The 6th Bangladesh-China Friendship Bridge Project is also known as the Muktarpur Bridge (Bangla translation: মুক্তারপুর সেতু).","Transport and Storage","https://global.factiva.com/redir/default.aspx?P=sa&an=bbcsap0020021229dyct000rt&cat=a&ep=ASE, Media Report, including Wikileaks; http://www.bba.gov.bd/6th-bangladesh-china-friendship-bridge-2/, Government Source (Donor/Recipient); http://en.people.cn/90883/7695209.html, Government Source (Donor/Recipient); https://web.archive.org/web/20160319034923/http://www.hljchic.com/qq.htm, Implementing/Intermediary Agency Source; https://www.crbc.com/site/crbc/293/info/2006/293.html, Implementing/Intermediary Agency Source; https://www.google.com/maps/uv?hl=en&pb=!1s0x3755ae1d85d361d3%3A0xfd1bce5e1ee0e66a!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP9pxv6j6pQdVJLpV6rR_tE8HyVj9bhoQjKZsji%3Dw340-h256-k-no!5sMuktarpur%20Bridge%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipP9pxv6j6pQdVJLpV6rR_tE8HyVj9bhoQjKZsji&sa=X&ved=2ahUKEwjW2b-GqMfpAhXNmHIEHd8JBBsQoiowDXoECBAQCA, Other; http://www.sasac.gov.cn/n2588025/n2588124/c4109153/content.html, Government Source (Donor/Recipient); https://www.google.com/maps/place/Muktarpur+Bridge,+Bangladesh/@23.5696501,90.5103998,17z/data=!3m1!4b1!4m5!3m4!1s0x3755ae1dcd95674d:0x96d85ebcaadf43f0!8m2!3d23.5696452!4d90.5125885, Other; https://web.archive.org/web/20180818083016/http://site.bba.gov.bd/6th-bangladesh-china-friendship-bridge-mukterpurbridge, Implementing/Intermediary Agency Source; http://twocircles.net/2008feb18/china_assisted_bridge_open_traffic_bangladesh.html, Media Report, including Wikileaks; http://www.gov.cn/xinwen/2016-10/24/content_5123609.htm, Government Source (Donor/Recipient)","https://global.factiva.com/redir/default.aspx?P=sa&an=bbcsap0020021229dyct000rt&cat=a&ep=ASE, Media Report, including Wikileaks","The Muktarpur bridge is located over the Dhaleshwari (Dhaleshwari) River, a tributary of the Meghna River, and on Dhaka-Munshigonj road. It is 37 kilometers southeast of Dhaka.","","","",""
34225,"China Eximbank provides $64 million preferential buyer’s credit for Phase 1 of the Padma (Jashaldia) Water Treatment Plant Project  (Linked to Project ID#38967)","On May 7, 2013, China Eximbank signed an RMB 1.475 billion government concessional loan (GCL) and a $64 million preferential buyer’s credit (PBC) for Phase 1 of the Padma (Jashaldia) Water Treatment Plant Project. The GCL and the PBC carry the following terms: 2% interest rate, 20-year maturity, grace period of 5 years, 0.2% commitment fee, and 0.2% management fee. Project ID#38967 captures the GCL, while Project ID#34225 captures the PBC. The Government of Bangladesh’s loan identification number for the GCL is L1120130507a. The Government of Bangladesh’s loan identification number for the PBC is B1120130507a. The Dhaka Water and Sewage Authority (DWSA) contracted CAMC Engineering Co. to construct the plant. Construction began in January 2013 and was originally expected to be complete by June 2016. However, the project encountered various delays and it was not completed until October 10, 2019. The inauguration ceremony for the plant was held on October 11, 2019. The water treatment plant is located in Jashaldia within the Louhajang subdistrict (upazila) and the Mushiganj district. The plant will reportedly produce 450 million liters of water per day. Water from one of the country's mighty Padma River will be treated at the plant for millions of Dhaka dwellers.","Water Supply and Sanitation","http://www.albd.org/articles/news/28040/ECNEC-Approves-%22Bangladesh-China-Friendship-Exhibition-Centre%22-Project, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020090804e58400008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.mofa.gov.bd/List.pdf, Government Source (Donor/Recipient); https://global-factiva-com.proxy.wm.edu/aa/?ref=DKCOBD0020090828e58s0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://news.priyo.com/metropolitan/2011/feb/01/18690/wasa-takes-steps-uninterrupted-water-supply-dry-months, Media Report, including Wikileaks; http://www.chinadaily.com.cn/opinion/2010-06/17/content_9985197.htm, Media Report, including Wikileaks; http://www.china.org.cn/english/2005/SouthasiaTour/125285.htm, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020130207e92500001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://bd2.mofcom.gov.cn/article/bilateralcooperation/bilateralagreement/200705/20070504675633.shtml, Government Source (Donor/Recipient); http://www.globalwaterintel.com/global-water-intelligence-magazine/archive/12/4/general/dhaka-plans-16bn-boost-water-treatment.html, Other Official Source (non-Donor, non-Recipient); http://en.ntvbd.com/bangladesh/4334/WASA-MD-questioned-by-ACC, Media Report, including Wikileaks; http://bd.mofcom.gov.cn/article/jmxw/201808/20180802775479.shtml, Government Source (Donor/Recipient); https://dwasa.org.bd/pwtpp/, Government Source (Donor/Recipient); https://pmo.portal.gov.bd/sites/default/files/files/pmo.portal.gov.bd/pm_speech/5cd81b17_5305_4410_8eb5_82335d2239f9/water_treatment_plant_101019_en.pdf, Government Source (Donor/Recipient); http://www.camce.com.cn/en/enBA/enEC/enWE/201503/t20150310_57574.htm, Implementing/Intermediary Agency Source; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-7.3%20%281%29.pdf, Government Source (Donor/Recipient); http://www.xinhuanet.com/english/2019-10/12/c_138464747.htm, Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-7.2.pdf, Government Source (Donor/Recipient); http://bd.mofcom.gov.cn/article/jmxw/201305/20130500117181.shtml, Government Source (Donor/Recipient); https://www.dropbox.com/s/x5uvp3g074c51or/375452082-Padma-Water-Treatment-Main-File-Full-and-Final-Print.pdf?dl=0, Government Source (Donor/Recipient); http://bd.china-embassy.org/eng/dshd/t1708680.htm, Government Source (Donor/Recipient)","https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020090804e58400008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=DKCOBD0020090828e58s0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020130207e92500001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","The water treatment plant is located is located in Jashaldia within the Louhajang subdistrict (upazila) and the Mushiganj district.","","","",""
43854,"China opens Confuicus Institute at University of Dhaka","The Confucius Institute at University of Dhaka opened on March 5, 2016. The University of Dhaka applied for a Confucius Institute in September 2015, which Hanban approved on November 5, 2015. Yunnan University in China is partnered with the University of Dhaka. The website of the University of Dhaka Confucius Institute states that their institute will help China implement the One Belt One Road strategy. This project assumes that Hanban's November 5, 2015 request approval was the date of commitment for this project.","Education","http://english.hanban.org/node_45620.htm, Government Source (Donor/Recipient); https://www.dhakatribune.com/business/2018/03/01/china-funded-projects-difficult-implement-real-life, Media Report, including Wikileaks",NA,"Dhaka","","","",""
34163,"China to write off Bangladeshi unpaid interest in a gesture of friendship","At a Joint Commission (JC) meeting between Bangladesh and China in 2009, China agreed to write off unpaid interest on loans given to Bangladesh until the end of 2008. The exact amount that was written off was not specified.","Action Relating to Debt","https://global.factiva.com/aa/?ref=DKCOBD0020090828e58s0000l&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=DKCOBD0020090828e58s0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=DKCOBD0020090828e58s0000l&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=DKCOBD0020090828e58s0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",NA,"","","",""
34164,"China builds Narsingdi Chinese Culture Center in Bangladesh","In 2006, China began the construction of the Narsingdi Cultural Center in Bangladesh. The center has a library, a conference room, and a computer training center where courses are offered to locals. Construction of the center was completed in 2007. The center holds training courses in computing skills for villagers to enhance their employability. There are no details concerning the nature or scope of any agreements signed or the specific organizations involved.","Education","https://global.factiva.com/aa/?ref=XNEWS00020070609e369003ju&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.sina.com/china/1/2007/0609/114582.html, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=XNEWS00020070609e369003ju&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","Narsingdi Village","","","",""
69216,"China Grants 82 Million RMB to Bangladesh for Vehicle Container Inspection Systems","On May 24, 2015, under an Economic and Technical Cooperation Agreement (ETCA), China signed two Letters of Exchange amounting to an 82 Million RMB grant to Bangladesh to procure 4 sets of Vehicle Mobile Container Inspection systems for the National Board of Review(NBR) under the Internal Resources Division, Ministry of Finance. The purpose of the vehicle Inspection system is to reduce the inspection time of import and export goods, therefore increasing the efficiency of custom officials and decreasing the trading cost of business. The system will also help to reduce tax evasion. The scanners will be installed in customs houses in Chittagong and Mongla seaports and Benapole, the country's largest land-port on the Indo-Bangladesh border, and Inland Container Depot (ICD) at Kamalapur in the capital of Dhaka. The handover ceremony took place on May 11, 2016.","Trade and Tourism","https://www.dropbox.com/s/l4t77cdzi82jcdq/Vehicle%20Mobile%20Container%20Inspection%20System%20Grant%20Announcement.pdf?dl=0, Government Source (Donor/Recipient); http://www.china.org.cn/world/Off_the_Wire/2016-05/11/content_38432888.htm, Media Report, including Wikileaks",NA,NA,"","","",""
34298,"China donates relief commodities worth of 7 million RMB to Bangladesh for flood rehabilitation (Linked to Project ID #34297)","Members of a four-person Chinese delegation to Bangladesh told the Secretary of Food and Disaster Management Siddiqur Rahman Chowdhury that the Chinese government would donate seven million RMB in corrugated iron sheets for the flood rehabilitation program. Chinese Ambassador to Bangladesh Chi Xi handed over the consignment to Food and Disaster Management Secretary Siddiqur Rahman on Dec 22, 2004.","Emergency Response","https://global.factiva.com/aa/?ref=BBCSAP0020040812e08c000b5&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040812e08b0000j&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040810e0890001a&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; http://bd2.mofcom.gov.cn/article/bilateralcooperation/inbrief/200705/20070504675608.shtml, Government Source (Donor/Recipient); http://newsfrombangladesh.net/view.php?hidRecord=30361, Media Report, including Wikileaks; http://www.epochtimes.com/gb/4/8/10/n622494.htm, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=BBCSAP0020040812e08c000b5&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040812e08b0000j&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020040810e0890001a&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks",NA,"","","",""
38967,"China Eximbank provides RMB 1.475 billion government concessional loan for Phase 1 of the Padma (Jashaldia) Water Treatment Plant Project (Linked to Project ID#34225)","On May 7, 2013, China Eximbank signed an RMB 1.475 billion government concessional loan (GCL) and a $64 million preferential buyer’s credit (PBC) for Phase 1 of the Padma (Jashaldia) Water Treatment Plant Project. The GCL and the PBC carry the following terms: 2% interest rate, 20-year maturity, grace period of 5 years, 0.2% commitment fee, and 0.2% management fee. Project ID#38967 captures the GCL, while Project ID#34225 captures the PBC. The Government of Bangladesh’s loan identification number for the GCL is L1120130507a. The Government of Bangladesh’s loan identification number for the PBC is B1120130507a. The Dhaka Water and Sewage Authority (DWSA) contracted CAMC Engineering Co. to construct the plant. Construction began in January 2013 and was originally expected to be complete by June 2016. However, the project encountered various delays and it was not completed until October 10, 2019. The inauguration ceremony for the plant was held on October 11, 2019. The water treatment plant is located in Jashaldia within the Louhajang subdistrict (upazila) and the Mushiganj district. The plant will reportedly produce 450 million liters of water per day. Water from one of the country's mighty Padma River will be treated at the plant for millions of Dhaka dwellers.","Water Supply and Sanitation","http://www.albd.org/articles/news/28040/ECNEC-Approves-%22Bangladesh-China-Friendship-Exhibition-Centre%22-Project, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020090804e58400008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.mofa.gov.bd/List.pdf, Government Source (Donor/Recipient); https://global-factiva-com.proxy.wm.edu/aa/?ref=DKCOBD0020090828e58s0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://news.priyo.com/metropolitan/2011/feb/01/18690/wasa-takes-steps-uninterrupted-water-supply-dry-months, Media Report, including Wikileaks; http://www.chinadaily.com.cn/opinion/2010-06/17/content_9985197.htm, Media Report, including Wikileaks; http://www.china.org.cn/english/2005/SouthasiaTour/125285.htm, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020130207e92500001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://bd2.mofcom.gov.cn/article/bilateralcooperation/bilateralagreement/200705/20070504675633.shtml, Government Source (Donor/Recipient); http://www.globalwaterintel.com/global-water-intelligence-magazine/archive/12/4/general/dhaka-plans-16bn-boost-water-treatment.html, Other Official Source (non-Donor, non-Recipient); http://en.ntvbd.com/bangladesh/4334/WASA-MD-questioned-by-ACC, Media Report, including Wikileaks; http://bd.mofcom.gov.cn/article/jmxw/201808/20180802775479.shtml, Government Source (Donor/Recipient); http://dwasa.org.bd/wp-content/uploads/2017/05/Press_26_05_2017.pdf, Media Report, including Wikileaks; http://bdf2018.erd.gov.bd/wp-content/uploads/2018/01/BDF18-Improving-Urban-Service-Delivery-for-Sustainable-Development.pdf, Government Source (Donor/Recipient); https://dwasa.org.bd/pwtpp/, Government Source (Donor/Recipient); http://www.camce.com.cn/en/enBA/enEC/enWE/201503/t20150310_57574.htm, Implementing/Intermediary Agency Source; https://pmo.portal.gov.bd/sites/default/files/files/pmo.portal.gov.bd/pm_speech/5cd81b17_5305_4410_8eb5_82335d2239f9/water_treatment_plant_101019_en.pdf, Government Source (Donor/Recipient); https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-7.2.pdf, Government Source (Donor/Recipient); http://bd.mofcom.gov.cn/article/jmxw/201305/20130500117181.shtml, Government Source (Donor/Recipient); https://www.dropbox.com/s/x5uvp3g074c51or/375452082-Padma-Water-Treatment-Main-File-Full-and-Final-Print.pdf?dl=0 , Government Source (Donor/Recipient); http://www.xinhuanet.com/english/2019-10/12/c_138464747.htm, Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-7.3%20%281%29.pdf, Government Source (Donor/Recipient); http://bd.china-embassy.org/eng/dshd/t1708680.htm, Government Source (Donor/Recipient)","https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020090804e58400008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=DKCOBD0020090828e58s0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global-factiva-com.proxy.wm.edu/aa/?ref=FNEXBD0020130207e92500001&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","The water treatment plant is located is located in Jashaldia within the Louhajang subdistrict (upazila) and the Mushiganj district.","","","",""
34070,"Chinese Government provides RMB 710 million grant for Bangladesh-China Friendship Exhibition Center Construction Project","On April 24, 2008, the Chinese Government and the Government of Bangladesh signed an MoU on the construction of the Bangladesh-China Friendship Exhibition Center in Dhaka.  The Chinese Government pledged to provide 2.1 billion BDT of the estimated 2.75 billion BDT needed for the project. The Chinese Government initially provided an RMB 60 million grant commitment. However, according to the Government of Bangladesh's Economic Affairs Division (EAD), the Chinese Government ultimately committed RMB 710 million for this project.  The Bangladesh-China Friendship Exhibition Center is located in Purbachal, a 6,150-acre town in the northeastern suburbs of Dhaka.  The center will be linked with eight-lane expressways from Dhaka's principal Hazrat Shahjalal International Airport road.  The precise locational coordinates of the center are available at https://www.google.com/maps/place/Bangladesh+China+Friendship+Exibition+Center/@23.8426008,90.5324999,17z/data=!3m1!4b1!4m5!3m4!1s0x3755cb986eafe535:0x6cd23860a3378f49!8m2!3d23.8425959!4d90.5346886. The center will have about 800 booths of 9 square meters each in two big hall rooms. There will also be a conference room, press center, meeting room, and business information center, as well as parking space for 1,500 cars. The general contractor for the project is China State Construction Engineering Corporation (CSCEC). Beijing Institute of Architectural Design (BIAD) and Shenyang Engineering Supervision & Consultation Corporation (SESCC) are responsible for the supervision of the project and overseeing the construction schedule and quality.  On April 17, 2017, the Bangladeshi authorities officially handed over a land permit to allow construction of the center to proceed. Then, on July 10, 2018, the Government of Bangladesh’s Economic Commission Executive Committee (ECNEC) officially approved a modification to the project. The total cost of the project reportedly increased from 2.75 billion BDT to 7.96 billion BDT, and then again to 10.03 billion BDT.  The expected completion date of the project was November 30, 2019. However, the project has been plagued by delays and controversy and it was still not complete as of mid-2020. The current planned end date is December 2020.  Bangladeshi environmentalists and human rights advocates filed a set of complaints related to the project, alleging that the city Capital City Development Authority (RAJUK) violated a host of environmental regulations and laws by adding the exhibit hall as part of a set of changes to the township’s overall design. The High Court and the Appellate Division of the Supreme Court, in separate orders, declared the Bangladesh-China Friendship Exhibition Center illegal. In March 2014, the Supreme Court issued a decision instructing RAJUK “not to efface, subtract, vary, modify or otherwise change the core forest, forest, lakes or canals, urban green, parks, playgrounds, play lots, green belt and other environmental-oriented spaces of the project without any permission of the court.” However, RAJUK and CSCEC continued the construction of the Bangladesh-China Friendship Exhibition Center in potential violation of the law. STAFF_NOTE: The Chinese project title is 加拉国孟中友谊展览中心项目.","Trade and Tourism","https://global.factiva.com/aa/?ref=UNIBAG0020070723e37m0003f&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.thefinancialexpress-bd.com/old/2009/12/10/86450.html, Media Report, including Wikileaks; http://www.thefinancialexpress-bd.com/2015/05/30/94658/print, Media Report, including Wikileaks; http://www.mofa.gov.bd/List.pdf, Government Source (Donor/Recipient); https://global.factiva.com/aa/?ref=UNIBAG0020060404e2430000z&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020080426e44p0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020050819e18i0001p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://archive.thedailystar.net/newDesign/news-details.php?nid=242607, Media Report, including Wikileaks; http://vimeo.com/105424864, Social Media, including Unofficial Blogs; https://books.google.com.sg/books?id=KQkVAgAAQBAJ&pg=PA243&lpg=PA243&dq=sri+lanka,+china,+100+railway&source=bl&ots=R3-6lB4nAZ&sig=OotjQwRtlZK3ZKEPZykyNz5e9h4&hl=en&sa=X&ei=g2qHVYjhBdO3uASGk6LQDw&ved=0CC0Q6AEwAw#v=onepage&q=sri%20lanka%2C%20china%2C%20100%20railway&f=false, Academic Journal Article; http://www.banglaapparel.com/en/news/2015-05-31_20:12:27:0.172012001433081547.en.html, Media Report, including Wikileaks; http://www.albd.org/index.php/en/search-results/18-updates/news/2739-ecnec-approves-bangladesh-china-friendship-exhibition-centre-project, Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/b09c0301_8d15_49e1_8af9_3231f08b8ad8/Tbl-6.00.pdf, Other Official Source (non-Donor, non-Recipient); http://bd.mofcom.gov.cn/article/jmxw/201807/20180702765537.shtml, Government Source (Donor/Recipient); https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/5b21cbd3_5877_4b24_889d_a03301bb974c/Tbl-6.00.pdf, Government Source (Donor/Recipient); http://www.cscec.com/xwzx_new/zqydt_new/201701/2651257.html, Implementing/Intermediary Agency Source; https://thefinancialexpress.com.bd/economy/china-bd-exhibition-centre-gets-ecnec-nod-1531231809, Media Report, including Wikileaks; http://www.cscec5b.com.cn/Article/qyyw/201704/20170422111345.html, Implementing/Intermediary Agency Source; http://www.sasac.gov.cn/n2588025/n2588124/c3838263/content.html, Government Source (Donor/Recipient); http://www.mofcom.gov.cn/article/i/jyjl/j/201807/20180702765537.shtml, Government Source (Donor/Recipient); http://www.sasac.gov.cn/n2588025/n2588124/c3838263/content.html, Government Source (Donor/Recipient); https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/5b21cbd3_5877_4b24_889d_a03301bb974c/Tbl-6.00.pdf, Government Source (Donor/Recipient); http://www.xinhuanet.com/english/2019-05/03/c_138031674.htm, Media Report, including Wikileaks; https://www.rfa.org/english/news/myanmar/bangladesh-exhibit-01162020121852.html , Media Report, including Wikileaks; https://erd.portal.gov.bd/sites/default/files/files/erd.portal.gov.bd/page/e192dd17_a4f0_4592_bda8_3b981898f9a0/Annex-11_Wing8.pdf , Government Source (Donor/Recipient); https://thefinancialexpress.com.bd/public/trade/bd-china-exhibition-centre-at-purbachal-by-2021-1513017984 , Media Report, including Wikileaks; https://english.cscec.com/CompanyNews/CorporateNews/202004/3068873.html , Implementing/Intermediary Agency Source; https://www.cscec.com/xwzx_new/zqydt_new/201904/2926004.html , Implementing/Intermediary Agency Source; http://www.gov.cn/xinwen/2019-05/03/content_5388465.htm#1, Government Source (Donor/Recipient); https://www.benarnews.org/english/news/bengali/purbachal-township-01152020181106.html , Media Report, including Wikileaks; https://www.google.com/maps/place/Bangladesh+China+Friendship+Exibition+Center/@23.8425959,90.5346886,3a,112.3y,90t/data=!3m8!1e2!3m6!1sAF1QipM7NRVsPQh-sWo20upP6KeZOS2GZYnc9Ai3G3sh!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM7NRVsPQh-sWo20upP6KeZOS2GZYnc9Ai3G3sh%3Dw152-h86-k-no!7i900!8i506!4m5!3m4!1s0x3755cb986eafe535:0x6cd23860a3378f49!8m2!3d23.8425959!4d90.5346886 , Other; http://www.xinhuanet.com/english/2019-03/18/c_137904611.htm, Media Report, including Wikileaks; http://bd.mofcom.gov.cn/article/jmxw/201909/20190902899696.shtml, Government Source (Donor/Recipient); https://today.thefinancialexpress.com.bd/last-page/cost-of-purbachal-exhibition-centre-goes-up-again-1531245262, Media Report, including Wikileaks; https://www.google.com/maps/place/Bangladesh+China+Friendship+Exibition+Center/@23.8426008,90.5324999,17z/data=!3m1!4b1!4m5!3m4!1s0x3755cb986eafe535:0x6cd23860a3378f49!8m2!3d23.8425959!4d90.5346886, Other","https://global.factiva.com/aa/?ref=UNIBAG0020070723e37m0003f&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020060404e2430000z&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020080426e44p0000h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=UNIBAG0020050819e18i0001p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","he Bangladesh-China Friendship Exhibition Center is located in Purbachal, a 6,150-acre town in the northeastern suburbs of Dhaka","","","",""
38688,"China grants 46 Government Scholarships to Bangladesh Students for AY 2006/2007","In August 2006, China awarded 46 Government Scholarships for Bangladesh students to study in China.","Education","http://bd.chineseembassy.org/chn/xwdt/t269171.htm, Government Source (Donor/Recipient)",NA,NA,"","","",""
